team,elo
France,1599.9
Argentina,1599.0
Switzerland,1587.0
England,1585.3
Morocco,1585.0
Spain,1584.9
Norway,1569.1
Belgium,1566.1
Mexico,1551.4
Colombia,1535.1
Brazil,1534.9
Portugal,1521.2
Egypt,1519.9
United States,1514.5
Netherlands,1512.7
Paraguay,1504.9
Canada,1502.8
Iran,1501.2
Croatia,1496.1
Japan,1494.1
Ivory Coast,1493.8
Germany,1490.4
Turkey,1484.5
Ecuador,1482.2
Saudi Arabia,1481.2
Uruguay,1481.2
Scotland,1480.0
Sweden,1479.1
South Korea,1478.8
Cape Verde Islands,1477.9
Algeria,1477.9
Austria,1477.8
Congo DR,1477.6
Ghana,1476.6
Australia,1476.4
Bosnia-Herzegovina,1476.1
South Africa,1476.1
Czechia,1463.4
Curaçao,1461.2
New Zealand,1461.2
Qatar,1460.0
Senegal,1459.9
Haiti,1444.6
Tunisia,1444.6
Jordan,1444.5
Panama,1443.4
Uzbekistan,1442.3
Iraq,1442.3
